SKU,EAN,Title,Description,Tags,Price,Soggeto iv o no,Quantità,Immagini
MA_8436607940616,8436607940616,3 Ring Circus,"<span data-mce-fragment=""1"">Il circo è arrivato in città!</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Sotto il tendone, giocolieri, clown, maghi, forzuti e bestie selvagge catturano la curiosità di un pubblico affezionato che applaude senza sosta.</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Dopo ogni esibizione, la vostra piccola troupe accumula fama e potrebbe un giorno suscitare l'interesse di P.T. Barnum, il più grande magnate del circo di tutti i tempi.In 3 Ring Circus, i giocatori assumono il ruolo di un direttore di circo che gira per gli Stati Uniti alla fine del XIX secolo. L'obiettivo è assumere artisti e offrire spettacoli in varie città con l'intento di guadagnare fama. Nelle città, gli spettacoli sono facili da allestire e vi danno le risorse iniziali per migliorare il vostro cast; le piccole città sono un po' più esigenti, ma vi permettono di entrare in contatto con artisti migliori; il pubblico delle grandi città è ancora più esigente e vuole vedere numeri molto specifici, ma esibirsi lì vi porta molta più fama! Al proprio turno, i giocatori possono assumere un artista o ospitare uno spettacolo. All'inizio della partita, i circhi di ciascun giocatore sono vuoti, quindi sarà necessario stipulare un contratto per formare la compagnia. Le carte artista garantiscono più o meno vantaggi a seconda dell'ordine in cui agiscono, quindi una delle chiavi del gioco è la pianificazione degli spettacoli che verranno offerti.Se decidono di agire, i giocatori devono spostarsi in uno spazio libero sulla mappa. Se si tratta di una città, ricevono in premio le carte valuta più semplici. Se ci si esibisce in una piccola città, a seconda del numero di piedistalli che si hanno nella propria compagnia si possono richiedere più o meno carte ingresso (il secondo più prezioso) o punti fama. Mentre il vostro piccolo circo cerca di sopravvivere, il grande e splendido Circo Barnum viaggia attraverso il paese e, quando arriva in una grande città, si tiene una classifica in quella regione e i circhi che vi si sono esibiti di più guadagnano ancora più fama.</span>",GIOCHI DA TAVOLO,34.9,soggeto iv,0,https://cdn.shopify.com/s/files/1/0701/5248/7187/files/3-ring-circus-magic-dreams-store.jpg?v=1707278497
TE_889698724371,889698724371,300: Funko Pop! - Movies - Dilios #1472,"<p data-mce-fragment=""1"">Un guerriero Sparta, il Funko Pop! di Dilios è perfetto per i fan di ""300"". Mostra il tuo spirito di battaglia con questo personaggio di collezione.</p>
<p data-mce-fragment=""1"">9 cm</p>","300, Funko POP",17.9,soggeto iv,3,"https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-dilios-1472-magic-dreams-store-1.jpg?v=1707294386, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-dilios-1472-magic-dreams-store-2.jpg?v=1707294388, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-dilios-1472-magic-dreams-store-3.jpg?v=1707294391, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-dilios-1472-magic-dreams-store-4.jpg?v=1707294393, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-dilios-1472-magic-dreams-store-5.jpg?v=1707294395"
TE_889698724388,889698724388,300: Funko Pop! Movies - Leonidas #1473,"<p data-mce-fragment=""1"">Unisciti al leggendario Re Sparta Leonidas con questa adorabile figura Funko Pop! Ispirata al film ""300"", questa figura raffigura Leonidas con la sua famosa armatura e spada. Perfetta per i collezionisti e gli amanti del cinema, questa figura aggiungerà un tocco di forza e coraggio alla tua collezione! (Solo per Spartanici veri!)</p>
<p data-mce-fragment=""1"">9 cm</p>
<p data-mce-fragment=""1""> </p>","300, ACTION AND FIGURE, ACTION FIGURES, Funko POP, MOVIES",17.9,soggeto iv,5,"https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-leonidas-1473-magic-dreams-store-1.jpg?v=1707293951, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-leonidas-1473-magic-dreams-store-2.jpg?v=1707293953, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-leonidas-1473-magic-dreams-store-3.webp?v=1707293956, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-leonidas-1473-magic-dreams-store-4.jpg?v=1707293958, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-leonidas-1473-magic-dreams-store-5.webp?v=1707293960"
TE_8896987243888,8896987243888,300: Funko Pop! Movies - Leonidas CHASE #1473,"<p data-mce-fragment=""1"">Porta a casa il tuo guerriero preferito con la figura Leonidas CHASE #1473 di 300 Funko Pop! Movies. Questa edizione speciale presenta una variante rara del personaggio con elmo spezzato e scarletta. Aggiungi un tocco di originalità alla tua collezione con Leonidas CHASE #1473!</p>
<p data-mce-fragment=""1"">9 cm</p>
<p data-mce-fragment=""1""> </p>","300, ACTION AND FIGURE, ACTION FIGURES, FUNKO BOLLINATI, Funko POP, MOVIES",59.9,soggeto iv,0,"https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-leonidas-chase-1473-magic-dreams-store-1.jpg?v=1707293951, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-leonidas-chase-1473-magic-dreams-store-2.webp?v=1707293954, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-leonidas-chase-1473-magic-dreams-store-3.jpg?v=1707293956, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-leonidas-chase-1473-magic-dreams-store-4.webp?v=1707293958, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-leonidas-chase-1473-magic-dreams-store-5.webp?v=1707293961"
TE_889698724395,889698724395,300: Funko Pop! Movies - Queen Gorgo #1474,"<p data-mce-fragment=""1"">Dai un tocco di regalità alla tua collezione con il Funko Pop! Movies 300 Queen Gorgo #1474. Prodotto in edizione limitata, questa figura raccoglie la forza e la maestosità della Regina Gorgo, un must-have per i fan del film. Aggiungi un tocco di potere alla tua collezione oggi stesso!</p>
<p data-mce-fragment=""1"">9 cm</p>","300, ACTION AND FIGURE, ACTION FIGURES, Funko POP, MOVIES",17.9,soggeto iv,3,"https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-queen-gorgo-1474-magic-dreams-store-1.webp?v=1707294386, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-queen-gorgo-1474-magic-dreams-store-2.png?v=1707294389, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-queen-gorgo-1474-magic-dreams-store-3.webp?v=1707294392, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-queen-gorgo-1474-magic-dreams-store-4.jpg?v=1707294394, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-queen-gorgo-1474-magic-dreams-store-5.webp?v=1707294396"
TE_889698724401,889698724401,300: Funko Pop! Movies - Xerses #1475,"<p data-mce-fragment=""1"">Aggiungi un tocco di divertimento alla tua collezione con il Funko Pop! di Xerses (numero 1475) dalla serie 300. Questo personaggio unico ed eccentrico è perfetto per i fan di questo film epico. Porta a casa il tuo Xerses oggi stesso e goditi il suo stile unico e divertente!</p>
<p data-mce-fragment=""1"">9 cm</p>","300, ACTION FIGURES, Funko POP, MOVIES",17.9,soggeto iv,3,"https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-xerses-1475-magic-dreams-store-1.jpg?v=1707294386, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-xerses-1475-magic-dreams-store-2.jpg?v=1707294389, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-xerses-1475-magic-dreams-store-3.jpg?v=1707294391, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-xerses-1475-magic-dreams-store-4.jpg?v=1707294393, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/300-funko-pop-movies-xerses-1475-magic-dreams-store-5.jpg?v=1707294396"
,,5 Fiera,,,5,soggeto iv,0,
MY_3760373630132,3760373630132,6 Mochis Blueberry Zoro Edizione Limitata - One Piece,"<table class=""data table additional-attributes"" id=""product-attribute-specs-table"" data-mce-fragment=""1"">
<caption class=""table-caption"" data-mce-fragment=""1"">Maggiori Informazioni</caption>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<th class=""col label"" scope=""row"" data-mce-fragment=""1"">Ingredienti</th>
<td class=""col data"" data-th=""Ingredienti"" data-mce-fragment=""1"">Maltosio (58%), zucchero (12%), polvere di riso glutinoso (12%), estratto di mirtillo (7,5%), olio di palma (6%), addensanti (E1442, E440) (2,7%), umidificante E420 (1%), emulsionante E441 (0,5%), aroma di mirtillo (0,195%), colorante (E129*, E133*) (0,1%), conservante E202 (0,005%). *Può avere effetti indesiderati sull'attività e sull'attenzione dei bambini.</td>
</tr>
<tr data-mce-fragment=""1"">
<th class=""col label"" scope=""row"" data-mce-fragment=""1"">Valori nutrizionali</th>
<td class=""col data"" data-th=""Valori nutrizionali"" data-mce-fragment=""1"">(per 100g): energia 379Kcal, lipidi 5g (di cui grassi saturi 0.8g), carboidrati 80g (di cui zuccheri 28g), proteine 3.9g, sale 0.1g.</td>
</tr>
<tr data-mce-fragment=""1"">
<th class=""col label"" scope=""row"" data-mce-fragment=""1"">Peso netto</th>
<td class=""col data"" data-th=""Peso netto"" data-mce-fragment=""1"">180g / 6.35oz</td>
</tr>
</tbody>
</table>","BEVERAGE, FOOD AND BEVERAGE, nessuno, ONE PIECE",7.9,soggeto iv,18,https://cdn.shopify.com/s/files/1/0701/5248/7187/files/6-mochis-blueberry-zoro-edizione-limitata-one-piece-magic-dreams-store.webp?v=1707293653
MY_3760373630125,3760373630125,6 Mochis Raspberry Luffy Edizione Limitata - One Piece,"<table class=""data table additional-attributes"" id=""product-attribute-specs-table"" data-mce-fragment=""1"">
<caption class=""table-caption"" data-mce-fragment=""1"">Maggiori Informazioni</caption>
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<th class=""col label"" scope=""row"" data-mce-fragment=""1"">Ingredienti</th>
<td class=""col data"" data-th=""Ingredienti"" data-mce-fragment=""1"">Maltosio (58%), zucchero (12%), polvere di riso glutinoso (18%), succo di lampone (7,5%), addensante E1442 (1,5%), emulsionanti (E441, E440) (1%), umettante E420 (1%), olio di palma (0,7%), aroma di lampone (0,195%), colorante E129* (0,1%), conservante E202 (0,005%). *Può avere effetti indesiderati sull'attività e sull'attenzione dei bambini.</td>
</tr>
<tr data-mce-fragment=""1"">
<th class=""col label"" scope=""row"" data-mce-fragment=""1"">Valori nutrizionali</th>
<td class=""col data"" data-th=""Valori nutrizionali"" data-mce-fragment=""1"">(per 100g): valore energetico 379Kcal, lipidi 5g (di cui grassi saturi 0.8g), carboidrati 80g (di cui zuccheri 28g), proteine 3.9g, sale 0.1g.</td>
</tr>
<tr data-mce-fragment=""1"">
<th class=""col label"" scope=""row"" data-mce-fragment=""1"">Peso netto</th>
<td class=""col data"" data-th=""Peso netto"" data-mce-fragment=""1"">180g / 6.35oz</td>
</tr>
</tbody>
</table>","BEVERAGE, FOOD AND BEVERAGE, nessuno, ONE PIECE",7.9,soggeto iv,14,https://cdn.shopify.com/s/files/1/0701/5248/7187/files/6-mochis-raspberry-luffy-edizione-limitata-one-piece-magic-dreams-store.webp?v=1707293656
AS_8041,5425016924112,7 Wonders (nuova versione) (ITA),"<p><span>7 Wonders è un </span><strong>gioco di carte strategico per 3/7 giocatori incentrato su una meccanica di draft* il cui scopo è costruire la civiltà antica più potente di tutte</strong><span>.</span><br><br><em>(*Draft = Meccanica in cui ogni giocatore ha una mano di carte, ne sceglie una e passa le restanti a chi gli siede accanto. Si fa questa operazione un certo numero di volte e poi ciascuno gioca con la mano finale ricavata.)</em><br><br><span>Sei il leader di una delle sette città più illustri dell’Antichità.</span><br><span>Sviluppa la tua civiltà nel campo militare, scientifico, culturale ed economico, ma fai attenzione ai progressi dei tuoi vicini che condividono le tue stesse ambizioni!</span><br><br><span>Ci sono molti modi per ottenere punti vittoria in 7 Wonders: costruendo gli stadi della propria Meraviglia, sviluppando le aree scientifiche, costruendo edifici civili, vincendo conflitti militari , assemblando gilde, scambiando e ammassando ricchezze.</span><br><br><span>Per effettuare tutte queste azioni, i giocatori hanno bisogno di risorse, prodotte ogni turno dalle carte e devono quindi contare non solo su loro stessi, ma anche sulle risorse prodotte dai propri vicini!</span><br><span>Una partita si svolge in 3 round, chiamati Epoche. Per ogni Epoca ogni giocatore riceve 7 carte a faccia in giù. Ad ogni turno, i giocatori sceglieranno simultaneamente una carta secondo la propria strategia, la giocheranno e passeranno la mano rimanente al proprio vicino.</span><br><br><span>Le carte rappresentano i diversi Edifici che potranno costruire: produzione risorse, civili, commerciali, militari, scientifici e gilde.</span><br><span>Alla fine di ogni Epoca, i giocatori si fronteggeranno in guerra con i propri due vicini. Concluse le 3 Epoche, i giocatori conteranno i punti vittoria forniti dalla propria Città, Meraviglia, efficacia militare e Tesoro. Il giocatore con il punteggio più alto vince la partita.</span><br></p>",GIOCHI DA TAVOLO,47.9,soggeto iv,1,"https://cdn.shopify.com/s/files/1/0701/5248/7187/files/7-wonders-nuova-versione-ita-magic-dreams-store-1.jpg?v=1707267256, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/7-wonders-nuova-versione-ita-magic-dreams-store-2.jpg?v=1707267258, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/7-wonders-nuova-versione-ita-magic-dreams-store-3.jpg?v=1707267261, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/7-wonders-nuova-versione-ita-magic-dreams-store-4.jpg?v=1707267263, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/7-wonders-nuova-versione-ita-magic-dreams-store-5.jpg?v=1707267265, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/7-wonders-nuova-versione-ita-magic-dreams-store-6.jpg?v=1707267267, https://cdn.shopify.com/s/files/1/0701/5248/7187/files/7-wonders-nuova-versione-ita-magic-dreams-store-7.jpg?v=1707267269"
